,L,0.2,0.4,0.7,1,1.2
0,0,9.6339200000000001e-05,0.00019279360000000001,0.0003376896,0.00048283519999999999,0.00039855359999999999
1,15.625,9.4544000000000008e-05,0.00018920000000000002,0.00033139200000000001,0.00047382400000000002,0.00039315200000000002
2,31.25,9.1391999999999995e-05,0.00018288959999999998,0.00032033920000000007,0.00045803839999999994,0.00038161919999999994
3,46.875,8.8947199999999988e-05,0.00017800000000000002,0.00031177599999999994,0.00044582399999999999,0.0003704
4,62.5,8.6822399999999991e-05,0.00017376960000000001,0.00030435200000000003,0.00043520000000000012,0.00036035199999999998
5,78.125,8.4742400000000024e-05,0.00016960000000000003,0.00029708800000000004,0.00042480000000000008,0.00035046399999999988
6,93.75,8.2771643462954046e-05,0.00016562650024003835,0.00029019043046887491,0.00041494639142262746,0.00034111057769243088
7,109.37,8.0726399999999973e-05,0.00016156799999999993,0.00028303999999999997,0.000404736,0.00033142400000000014
8,125,7.8704414587332086e-05,0.00015751759436980175,0.00027587971849008327,0.0003944977607165709,0.00032181701855406276
9,140.63,7.6736000000000032e-05,0.00015353600000000002,0.00026892800000000004,0.00038457600000000003,0.00031254399999999994
10,156.25,7.4655999999999998e-05,0.00014940799999999999,0.00026175999999999999,0.00037433600000000002,0.00030303999999999997